简体中文,翻译结果
<size=24>免费刷新次数</size>\n{0}/{1},
<size=24>刷新花费</size>\n ,
<size=24><color=red>今日刷新次数用完</color></size>,
今日对手挑战次数用完，休息一下吧,
今日对手刷新次数用完,
没有攻防记录，先尝试挑战对手吧！,
挑战成功,
挑战失败…,
防守成功,
防守失败…,
居民上场成功,
该居民已经上场,
已到当前人数上限,
较优着装推荐完成,
还原角色原本着装,
灵果不足，是否前往购买,
金币不足，是否前往购买,
包含道具,
如果继续，10天后账户会注销,
点击建筑升级,
兑换成功，请在邮箱领取,
无效兑换码,
功能尚未解锁,
【感受野】刺激强度达到$P1级才会产生新的分数,
是否退出游戏,
网络连接错误，请重新登录,
网络连接丢失，请重新登录,
https://playgame.quickjoy.com/agreement/read/id/19212.html,
https://playgame.quickjoy.com/agreement/privacy/id/19212.html,
https://playgame.quickjoy.com/agreement/read/id/21457.html,
https://playgame.quickjoy.com/agreement/share/id/21457.html,
请在奇蛋远征队中解散队伍,
队伍已达上限,
本岛每生产<color=#9EBF46>$P1</color>个<color=#9EBF46>$P2</color>，赐予<color=#F39200>$P3</color>个<color=#F39200>$P4</color>,
本岛每生产<color=#9EBF46>$P1</color>个<color=#9EBF46>$P2</color>，赐予<color=#F39200>$P3</color>个<color=#F39200>梦币</color>,
本岛每生产<color=#9EBF46>$P1</color>个<color=#9EBF46>$P2</color>，降低<color=#F39200>$P3</color>点压力,
等级限制：,
$P1的炼金工房,
$P1星级居民赋予<color=#9EBF46>$P2</color>条<color=#9EBF46>资源赐予或压力降低</color>词条,
$P1星级居民赋予<color=#9EBF46>$P2</color>条<color=#9EBF46>学科能力值</color>增益词条,
提高<color=#9EBF46>调和等级</color>，可能获得更优质的词条效果,
商人将在$P1后跑路,
商人已经跑路了,
队伍已达上限，请挑战搬运中的队伍,
调和道具意外不足，请重新打开炼金工房,
需要设置队长,
岛等级不足,
$P1的<color=#9EBF46>$P2</color>能力值提升<color=#F39200>$P3</color>%,
请选择阵容,
每$P1秒搬运,
解锁成功,
无法放置，本岛已有$P1座居民印象,
无法放置，本岛已有[$P1]的居民印象,
购买,
全部购买,
兑换,
全部兑换,
已锁定的物品不能标记为弃置,
将分解已标记为弃置的$P1个居民印象，确定吗？,
将分解已标记为弃置的$P1个知识残影，确定吗？,
如果一只奇蛋都不派遣，则不能运走任何货物，确定要这样么？,
你的科技还不足以访问这里，请继续研究,
可用压力$P1,
立刻增加$P1压力,
制作1个\n$P1,
点击建筑进行操作,
拖动建筑移动位置,
拖动屏幕框选建筑,
没有可升级建筑,
没有可删除建筑,
选择道具后框选范围进行建造,
你已经和这里的商人达成了贸易，是否坚持继续挑战？,
队伍已经锁定,
配方：$P1,
解锁$P1的$P2级调和能力，需消耗材料,
需要先解锁$P1的$P2级调和能力,
感谢您给全服发送福利邮件,
没有需要修理的衣服,
居民印象不可移动岛屿,
无,
拥有数量：,
做菜,
$P1后到期,
达到,
退出确认,
确定要退出游戏吗？,
全屏幕,
窗口,
收集完成~,
是否把1件<color=#FFFFFF>$P1</color>(持有<color=#FFFFFF>$P2</color>件)绑定给<color=#FFFFFF>$P3</color>？,
是否要取消派遣？,
挑战队伍已达上限,
今日已经挑战其他颜色的商人了,
$P1<size=35%>名</size>,
<size=60%>未上榜</size>,
积分倍率：$P1,
你已经参与了$P1,
派遣居民进行生产,
将$P1个$P2放入材料仓库，今日还可取出$P3个，确认吗？,
将$P1个$P2放入材料仓库，今日取出量已用完，确认吗？,
从材料仓库取出$P1个$P2，会消耗对应的取出量，确认吗？,
今日取出量已用完，每日取出量可升级,
今日取出量已用完,
背包中没有$P1,
取消学习是不退学费的哦，真的要取消吗？,
至少需要$P1级，才可以压制[$P2]哦,
鸡腿值达到$P1后可购买,
绑定1件<color=#FFFFFF>$P1</color>(持有<color=#FFFFFF>$P2</color>件)给<color=#FFFFFF>$P3</color>,
并领取套装加成奖励，确认吗？,
"共计<color=#FFFFFF>$P1</color>件部件将绑定给<color=#FFFFFF>$P2</color>
并领取<color=#FFFFFF>$P3</color>组套装加成奖励，确认吗？
<color=red>服装部件每件只能绑定给一个居民
绑定状态不能取消哦！</color>",
https://image.oc.mobixinxi.cn/Travel/,
该槽位未解锁，请先升级旅行能力,
已到最大等级,
升级资源不足,
旅行速度升级成功,
旅行城市数升级成功,
行李数量升级成功,
小时道具消耗,
旅行速度,
旅行城市数,
行李数量,
可兑换,
解锁旅行目的地：$P1,
解锁道具不足,
伴手礼全收集奖励预览,
领取收集奖励,
将消耗以下道具，确认吗？,
收集本组城市的全部伴手礼，可领取以下奖励,
收集本组全部城市的任意照片，可领取以下奖励,
"收集本组全部城市的全时段照片，可领取以下奖励
学科能力提升受益者为<color=#FFFFFF>$P1</color>",
全城市照片收集奖励预览,
全时段照片收集奖励预览,
收集本组全部城市的全时段照片，可领取以下奖励,
$P1 - $P2留影（$P3）,
白天,
黄昏,
夜里,
此照片只剩一张啦，无法赠送,
学科能力提升受益者为<color=#FFFFFF>$P1</color>,
赠送一张本照片给UID[$P1]的玩家，UID输入错误照片就会丢失哦，确认吗？,
$P1 正出发去旅行,
$P1 旅行回来了,
预计 $P1 后返回,
呼叫 $P1 停止旅行返回工作，但不会获得旅行收益，确认吗？,
$P1 正在旅行，无法切换,
$P1 正在旅行，无法派遣,
旅行中,
购买$P1个[$P2] 将消耗以下资源，确认吗？,
剩余：$P1,
<color=white>$P1</color> 送给 <color=white>uid:$P2</color> 一张 <color=white>$P3</color>,
$P1($P2-$P3),
$P1($P2),
本店声望：$P1,
$P1声望：$P2,
最低声望要求：$P1,
小于等于,
大于等于,
开启$P1,
解锁$P1,
升级到$P1,
<color=#808080FF><s>$P1</s> </color><color=#AAC85B>$P2</color>  ,
<color=#AAC85B>已购买</color>  ,
购买$P1等级,
购买后升至<color=#AAC85B>$P1</color>，可以获得以下奖励,
购买$P1[$P2级]将消耗以下资源，确认吗？,
<bounce>$P1升级了</bounce>,
刷新时间：每日4点,
刷新时间：每周一4点,
本期内单次完成,
相关建筑还没有解锁或建造,
该果实离线后也可以成长,
$P1后进入下一阶段,
天气变为：$P1（$P2级）,
$P1（$P2级）,
免费,
本次补习需要支付的学费如下，确认吗?,
本次为$P1位居民补习的总学费如下，确认吗?,
$P1已经太累了，每位居民每天只能补课$P2次哦,
<color=#FF8383>没有适合补课的居民了，先去学校给居民报名吧</color>  ,
学累了…,
在报了名的学校中，<color=#FF8383>已经没有</color>$P1可以学习的科目了,
在无色商人处不能肘击其他玩家,
今日已肘击$P1次，挑战费用为基准价格的$P2倍,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
